target,regime,requested_delay,taps,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
low-pass,sub-minimum,2.92951816,129,67,1,66,-0.00493616873,-0.0429331751
low-pass,sub-minimum,2.92951816,129,68,1,67,-0.00477283012,-0.0415125095
low-pass,sub-minimum,2.92951816,129,69,1,68,-0.00456677214,-0.0397202848
low-pass,sub-minimum,2.92951816,129,70,1,69,-0.00432760135,-0.0376400558
low-pass,sub-minimum,2.92951816,129,71,1,70,-0.00405449224,-0.0352646424
low-pass,sub-minimum,2.92951816,129,72,1,71,-0.00375759614,-0.0326823377
low-pass,sub-minimum,2.92951816,129,73,1,72,-0.00343766667,-0.0298996961
low-pass,sub-minimum,2.92951816,129,74,1,73,-0.00310510867,-0.0270072158
low-pass,sub-minimum,2.92951816,129,75,1,74,-0.0027618265,-0.0240214602
low-pass,sub-minimum,2.92951816,129,76,1,75,-0.00241811625,-0.0210319813
low-pass,sub-minimum,2.92951816,129,77,1,76,-0.00207654198,-0.0180610804
low-pass,sub-minimum,2.92951816,129,78,1,77,-0.00174691681,-0.015194109
low-pass,sub-minimum,2.92951816,129,79,1,78,-0.00143198328,-0.0124549204
low-pass,sub-minimum,2.92951816,129,80,1,79,-0.00114068026,-0.00992126243
low-pass,sub-minimum,2.92951816,129,81,1,80,-0.000875465625,-0.0076145126
low-pass,sub-minimum,2.92951816,129,82,1,81,-0.000644037211,-0.00560162423
low-pass,sub-minimum,2.92951816,129,83,1,82,-0.000448165967,-0.00389800045
low-pass,sub-minimum,2.92951816,129,84,1,83,-0.000294009493,-0.00255719805
low-pass,sub-minimum,2.92951816,129,85,1,84,-0.000182317265,-0.00158573572
low-pass,sub-minimum,2.92951816,129,86,1,85,-0.000117479702,-0.00102179988
low-pass,sub-minimum,2.92951816,129,87,1,86,-9.89850221e-05,-0.000860939226
low-pass,sub-minimum,2.92951816,129,88,1,87,-0.00012933466,-0.00112491042
low-pass,sub-minimum,2.92951816,129,89,1,88,-0.000206632967,-0.00179722571
low-pass,sub-minimum,2.92951816,129,90,1,89,-0.000331475543,-0.00288306546
low-pass,sub-minimum,2.92951816,129,91,1,90,-0.000500561844,-0.00435372259
low-pass,sub-minimum,2.92951816,129,92,1,91,-0.000712684194,-0.00619869315
low-pass,sub-minimum,2.92951816,129,93,1,92,-0.000963242821,-0.00837796983
low-pass,sub-minimum,2.92951816,129,94,1,93,-0.00124941935,-0.0108670393
low-pass,sub-minimum,2.92951816,129,95,1,94,-0.00156552878,-0.0136164554
low-pass,sub-minimum,2.92951816,129,96,1,95,-0.00190743356,-0.0165902309
low-pass,sub-minimum,2.92951816,129,97,1,96,-0.00226866405,-0.0197320951
low-pass,sub-minimum,2.92951816,129,98,1,97,-0.00264414361,-0.0229978931
low-pass,sub-minimum,2.92951816,129,99,1,98,-0.00302696652,-0.0263275611
low-pass,sub-minimum,2.92951816,129,100,1,99,-0.00341154297,-0.0296724808
low-pass,sub-minimum,2.92951816,129,101,1,100,-0.00379095096,-0.0329724469
low-pass,sub-minimum,2.92951816,129,102,1,101,-0.00415951487,-0.0361780948
low-pass,sub-minimum,2.92951816,129,103,1,102,-0.00451072217,-0.0392327806
low-pass,sub-minimum,2.92951816,129,104,1,103,-0.00483925517,-0.0420902528
low-pass,sub-minimum,2.92951816,129,105,1,104,-0.00513940586,-0.044700865
low-pass,sub-minimum,2.92951816,129,106,1,105,-0.00540661736,-0.0470249828
low-pass,sub-minimum,2.92951816,129,107,1,106,-0.00563634663,-0.0490230926
low-pass,sub-minimum,2.92951816,129,108,1,107,-0.00582514138,-0.0506651674
low-pass,sub-minimum,2.92951816,129,109,1,108,-0.00596989862,-0.0519242183
low-pass,sub-minimum,2.92951816,129,110,1,109,-0.00606853216,-0.0527821005
low-pass,sub-minimum,2.92951816,129,111,1,110,-0.0061195843,-0.0532261352
low-pass,sub-minimum,2.92951816,129,112,1,111,-0.00612247011,-0.0532512351
low-pass,sub-minimum,2.92951816,129,113,1,112,-0.00607748428,-0.0528599631
low-pass,sub-minimum,2.92951816,129,114,1,113,-0.00598558637,-0.0520606652
