target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
parametric-eq,continuum,48000,129,1024,1.875,,,0.0105817862,0.0767847515,0.248938757,114.286432,6.53269578,
parametric-eq,continuum,48000,129,1024,2,,,4.28138408e-05,0.000324363004,0.00108332071,121.789492,6.99604684,
parametric-eq,factorisation,48000,129,1024,,0,,4.28138408e-05,0.000324363004,0.00108332071,6.2105079,6.99604684,
parametric-eq,factorisation,48000,129,1024,,4,,9.27023763e-05,0.000696530574,0.00237176505,10.2103418,6.99603897,
parametric-eq,factorisation,48000,129,1024,,8,,0.000195037108,0.00145448482,0.0049828674,14.2110746,6.99475612,
parametric-eq,factorisation,48000,129,1024,,12,,0.000398631033,0.002949942,0.0102156724,18.2110437,6.99345948,
parametric-eq,factorisation,48000,129,1024,,16,,0.000790379835,0.00579974515,0.0204650276,22.2072659,6.99391715,
parametric-eq,factorisation,48000,129,1024,,20,,0.00151893923,0.0110423408,0.0387017333,26.205549,6.98665483,
parametric-eq,factorisation,48000,129,1024,,24,,0.00283052116,0.0203708204,0.07288805,30.1978909,6.97112252,
parametric-eq,factorisation,48000,129,1024,,28,,0.00512302425,0.0364838554,0.128416631,34.1774448,6.93580556,
parametric-eq,factorisation,48000,129,1024,,32,,0.00902414443,0.0635796702,0.229800023,38.1679838,6.82537857,
parametric-eq,factorisation,48000,129,1024,,36,,0.0154838167,0.10788274,0.394384564,42.0608609,6.6951037,
parametric-eq,factorisation,48000,129,1024,,40,,0.0258513462,0.177853571,0.661892105,45.7688384,6.51949988,
parametric-eq,factorisation,48000,129,1024,,44,,0.0281125906,0.19987672,0.825090824,49.4460095,5.96663704,
parametric-eq,factorisation,48000,129,1024,,48,,0.00753486015,0.0583153117,0.233186153,52.8372169,5.0894886,
parametric-eq,factorisation,48000,129,1024,,52,,0.0061029717,0.0424022614,0.191770558,55.7954561,3.7806043,
parametric-eq,factorisation,48000,129,1024,,56,,0.00469449265,0.0312794875,0.138971674,58.7576885,1.60641475,
parametric-eq,factorisation,48000,129,1024,,60,,0.00351376702,0.0253181692,0.117542773,61.1952194,0.174602866,
parametric-eq,factorisation,48000,129,1024,,64,,0.00286022787,0.0217812832,0.0747727516,64,3.25172563e-14,
parametric-eq,floor-probe,48000,129,1024,,,0.25,0.0191785042,0.153664322,0.257429557,5.74999239,6.52813971,7.7292843e-05
parametric-eq,floor-probe,48000,129,1024,,,0.5,0.0420664149,0.342625695,0.53061644,5.2669202,6.14985731,0.000121707471
parametric-eq,floor-probe,48000,129,1024,,,1,0.0932489383,0.758635902,1.13062964,4.24571005,5.84005592,0.000279491487
parametric-eq,floor-probe,48000,129,1024,,,2,0.21599078,1.70809922,2.60473469,1.93210271,7.59549706,0.000650094011
crossover,continuum,48000,129,1024,0,,,1.64045365e-10,2.5508805e-06,2.02265453e-05,10.4115063,0.765876194,
crossover,continuum,48000,129,1024,0.125,,,0.00255936455,6.38208703,13.9133202,17.1174457,0.709233076,
crossover,continuum,48000,129,1024,0.25,,,0.000724842021,3.61627779,13.2564924,23.8113279,0.581780416,
crossover,continuum,48000,129,1024,0.375,,,0.000266618716,0.654354357,2.56501611,30.5079587,0.479088001,
crossover,continuum,48000,129,1024,0.5,,,0.000131858174,0.790373774,3.41570798,37.2063194,0.383713096,
crossover,continuum,48000,129,1024,0.625,,,1.70893983e-05,0.0988742031,0.404677433,43.9043588,0.287281629,
crossover,continuum,48000,129,1024,0.75,,,1.44081815e-05,0.0643726735,0.247774152,50.6029183,0.191548502,
crossover,continuum,48000,129,1024,0.875,,,3.59345333e-06,0.0243980307,0.0929034485,57.3014452,0.095750446,
crossover,continuum,48000,129,1024,1,,,1.94466965e-06,0.00405419339,0.0252609468,64,2.18851309e-14,
