target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,frequency_hz,target_magnitude_db,magnitude_db,group_delay_samples,delay_weight
parametric-eq,budde-iterative,48000,129,1024,16,2765.625,7.10045845,7.11176415,26.7408412,5.34163836
parametric-eq,budde-iterative,48000,129,1024,16,2812.5,7.57082025,7.57494508,28.047652,6.12772374
parametric-eq,budde-iterative,48000,129,1024,16,2859.375,7.95177226,7.9479203,29.0448285,6.85136693
parametric-eq,budde-iterative,48000,129,1024,16,2906.25,8.23418069,8.223963,29.7332375,7.43580626
parametric-eq,budde-iterative,48000,129,1024,16,2953.125,8.41239003,8.39916225,30.1187627,7.81374097
parametric-eq,budde-iterative,48000,129,1024,16,3000,8.48410625,8.47196515,30.2084365,7.94328235
parametric-eq,budde-iterative,48000,129,1024,16,3046.875,8.45023363,8.44290762,30.0088147,7.81767985
parametric-eq,budde-iterative,48000,129,1024,16,3093.75,8.31468663,8.31453578,29.5261802,7.4651635
parametric-eq,budde-iterative,48000,129,1024,16,3140.625,8.0841761,8.091497,28.7683671,6.93961997
parametric-eq,budde-iterative,48000,129,1024,16,3187.5,7.76795251,7.78075844,27.7481301,6.30645232
parametric-eq,budde-iterative,48000,129,1024,16,3234.375,7.37747997,7.39187887,26.4879103,5.62894446
parametric-eq,budde-iterative,48000,129,1024,16,3281.25,6.92601502,6.93721063,25.0253824,4.95886024
parametric-eq,budde-iterative,48000,129,1024,16,3328.125,6.42807445,6.43184827,23.418218,4.33239286
parametric-eq,budde-iterative,48000,129,1024,16,3375,5.8987975,5.89310213,21.7452327,3.7705025
parametric-eq,budde-iterative,48000,129,1024,16,3421.875,5.35323549,5.33931966,20.1004019,3.2818013
parametric-eq,budde-iterative,48000,129,1024,16,3468.75,4.80563021,4.78807674,18.5777093,2.86627174
parametric-eq,budde-iterative,48000,129,1024,16,3515.625,4.26875966,4.25411081,17.249534,2.51869932
parametric-eq,budde-iterative,48000,129,1024,16,3562.5,3.7534283,3.74770045,16.1474096,2.23131642
parametric-eq,budde-iterative,48000,129,1024,16,3609.375,3.26815595,3.27421958,15.2562267,1.99558181
parametric-eq,budde-iterative,48000,129,1024,16,3656.25,2.81908171,2.83514821,14.5272296,1.80323519
parametric-eq,budde-iterative,48000,129,1024,16,3703.125,2.4100602,2.43011357,13.9045034,1.64683073
parametric-eq,budde-iterative,48000,129,1024,16,3750,2.04290086,2.0590223,13.352132,1.51993678
parametric-eq,budde-iterative,48000,129,1024,16,3796.875,1.71769215,1.72332795,12.8694764,1.41714408
parametric-eq,budde-iterative,48000,129,1024,16,3843.75,1.43315947,1.42591412,12.4881216,1.33397795
parametric-eq,budde-iterative,48000,129,1024,16,3890.625,1.18701926,1.16972122,12.2521296,1.26677272
parametric-eq,budde-iterative,48000,129,1024,16,3937.5,0.976305773,0.955840745,12.1908994,1.21254063
parametric-eq,budde-iterative,48000,129,1024,16,3984.375,0.797656013,0.78208308,12.2982853,1.16885118
parametric-eq,budde-iterative,48000,129,1024,16,4031.25,0.647545018,0.642799041,12.5288915,1.13372709
parametric-eq,budde-iterative,48000,129,1024,16,4078.125,0.522467951,0.530079929,12.8127949,1.10555798
parametric-eq,budde-iterative,48000,129,1024,16,4125,0.419070441,0.435775102,13.0800171,1.08303036
parametric-eq,budde-iterative,48000,129,1024,16,4171.875,0.334233078,0.353458202,13.282836,1.06507144
parametric-eq,budde-iterative,48000,129,1024,16,4218.75,0.265119105,0.279624245,13.4077431,1.05080437
parametric-eq,budde-iterative,48000,129,1024,16,4265.625,0.209195306,0.213794929,13.4746386,1.03951245
parametric-eq,budde-iterative,48000,129,1024,16,4312.5,0.164234804,0.15761417,13.5251305,1.03061035
parametric-eq,budde-iterative,48000,129,1024,16,4359.375,0.128308006,0.113325929,13.6044288,1.0236209
parametric-eq,budde-iterative,48000,129,1024,16,4406.25,0.0997654667,0.0822079758,13.7431524,1.01815608
parametric-eq,budde-iterative,48000,129,1024,16,4453.125,0.0772149256,0.0635374474,13.9457563,1.01390139
parametric-eq,budde-iterative,48000,129,1024,16,4500,0.0594942996,0.0544469824,14.1898752,1.01060295
parametric-eq,budde-iterative,48000,129,1024,16,4546.875,0.0456426379,0.0506600095,14.4360862,1.00805667
parametric-eq,budde-iterative,48000,129,1024,16,4593.75,0.0348712323,0.0477488738,14.6431806,1.00609927
parametric-eq,budde-iterative,48000,129,1024,16,4640.625,0.0265368361,0.0424048933,14.7825958,1.00460079
parametric-eq,budde-iterative,48000,129,1024,16,4687.5,0.0201181863,0.0332764948,14.8472435,1.00345826
parametric-eq,budde-iterative,48000,129,1024,16,4734.375,0.0151960664,0.0211330559,14.8526982,1.00259058
parametric-eq,budde-iterative,48000,129,1024,16,4781.25,0.0114363877,0.0083444202,14.8310765,1.00193417
parametric-eq,budde-iterative,48000,129,1024,16,4828.125,0.00857549204,-0.00212828968,14.819731,1.00143945
parametric-eq,budde-iterative,48000,129,1024,16,4875,0.00640707264,-0.0078857731,14.848381,1.00106794
parametric-eq,budde-iterative,48000,129,1024,16,4921.875,0.00477054299,-0.00799017669,14.9291361,1.00078993
parametric-eq,budde-iterative,48000,129,1024,16,4968.75,0.00354104641,-0.00329933269,15.0531232,1.0005826
parametric-eq,budde-iterative,48000,129,1024,16,5015.625,0.00262137843,0.00386251433,15.1948454,0
parametric-eq,budde-iterative,48000,129,1024,16,5062.5,0.00193588419,0.01054196,15.322186,0
parametric-eq,budde-iterative,48000,129,1024,16,5109.375,0.0014260509,0.0141713098,15.4079536,0
parametric-eq,budde-iterative,48000,129,1024,16,5156.25,0.00104725829,0.0134009416,15.4388939,0
parametric-eq,budde-iterative,48000,129,1024,16,5203.125,0.000766119664,0.00848650535,15.4195611,0
parametric-eq,budde-iterative,48000,129,1024,16,5250,0.00055804276,0.00113047048,15.3702673,0
parametric-eq,budde-iterative,48000,129,1024,16,5296.875,0.000404936919,-0.0061508469,15.3199605,0
parametric-eq,budde-iterative,48000,129,1024,16,5343.75,0.000293224389,-0.0109177979,15.2962882,0
parametric-eq,budde-iterative,48000,129,1024,16,5390.625,0.000212369276,-0.0116516616,15.3161495,0
parametric-eq,budde-iterative,48000,129,1024,16,5437.5,0.000154017249,-0.00825847701,15.3801348,0
parametric-eq,budde-iterative,48000,129,1024,16,5484.375,0.000111639432,-0.00205929337,15.4729166,0
parametric-eq,budde-iterative,48000,129,1024,16,5531.25,8.04233579e-05,0.0047132184,15.5692732,0
parametric-eq,budde-iterative,48000,129,1024,16,5578.125,5.71376127e-05,0.00971155128,15.6432269,0
