target,regime,sample_rate_hz,taps,fft_size,requested_delay,minimum_phase_delay,phase_mix,predicted_delay,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple
parametric-eq,super-maximum,48000,129,1024,124.894746,6.2105079,,,238,0.0898523102,0.560542019,3.73697303,124.894744,7.92047675
parametric-eq,super-maximum,48000,129,1024,126.447373,6.2105079,,,320,0.0605494112,1.26096074,24.8338687,126.447362,76.3203362
crossover,sub-minimum,48000,129,1024,2.60287657,10.4115063,,,320,0.196337409,21.6973576,41.8113826,2.60288122,55.9952839
crossover,sub-minimum,48000,129,1024,5.20575313,10.4115063,,,260,0.174782118,27.3096589,46.7747261,5.20575546,26.6297891
crossover,sub-minimum,48000,129,1024,7.8086297,10.4115063,,,251,0.0456593803,25.9894971,43.9626142,7.80863136,1.41401673
crossover,window,48000,129,1024,10.4115063,10.4115063,0,10.4115063,0,1.64045365e-10,2.5508805e-06,2.02265453e-05,10.4115063,0.765876194
crossover,window,48000,129,1024,17.110068,10.4115063,0.125,17.110068,0,0.00255936455,6.38208703,13.9133202,17.1174457,0.709233076
crossover,window,48000,129,1024,23.8086297,10.4115063,0.25,23.8086297,0,0.000724842021,3.61627779,13.2564924,23.8113279,0.581780416
crossover,window,48000,129,1024,30.5071914,10.4115063,0.375,30.5071914,0,0.000266618716,0.654354357,2.56501611,30.5079587,0.479088001
crossover,window,48000,129,1024,37.2057531,10.4115063,0.5,37.2057531,0,0.000131858174,0.790373774,3.41570798,37.2063194,0.383713096
crossover,window,48000,129,1024,43.9043148,10.4115063,0.625,43.9043148,0,1.70893983e-05,0.0988742031,0.404677433,43.9043588,0.287281629
crossover,window,48000,129,1024,50.6028766,10.4115063,0.75,50.6028766,0,1.44081815e-05,0.0643726735,0.247774152,50.6029183,0.191548502
crossover,window,48000,129,1024,57.3014383,10.4115063,0.875,57.3014383,0,3.59345333e-06,0.0243980307,0.0929034485,57.3014452,0.095750446
crossover,window,48000,129,1024,64,10.4115063,1,64,0,1.94466965e-06,0.00405419339,0.0252609468,64,2.18851309e-14
crossover,window,48000,129,1024,70.6985617,10.4115063,1.125,70.6985617,0,3.59345333e-06,0.0243980307,0.0929034485,70.6985548,0.095750446
crossover,window,48000,129,1024,77.3971234,10.4115063,1.25,77.3971234,0,1.44081815e-05,0.0643726735,0.247774152,77.3970817,0.191548502
crossover,window,48000,129,1024,84.0956852,10.4115063,1.375,84.0956852,0,1.70893983e-05,0.0988742031,0.404677433,84.0956412,0.287281629
crossover,window,48000,129,1024,90.7942469,10.4115063,1.5,90.7942469,0,0.000131858174,0.790373774,3.41570798,90.7936806,0.383713096
crossover,window,48000,129,1024,97.4928086,10.4115063,1.625,97.4928086,0,0.000266618716,0.654354357,2.56501611,97.4920413,0.479088001
crossover,window,48000,129,1024,104.19137,10.4115063,1.75,104.19137,0,0.000724842021,3.61627779,13.2564924,104.188672,0.581780416
crossover,window,48000,129,1024,110.889932,10.4115063,1.875,110.889932,0,0.00255936455,6.38208703,13.9133202,110.882554,0.709233076
crossover,window,48000,129,1024,117.588494,10.4115063,2,117.588494,0,1.64045375e-10,2.55087931e-06,2.02265355e-05,117.588494,0.765876194
crossover,super-maximum,48000,129,1024,120.19137,10.4115063,,,241,0.0456593806,25.989496,43.9626135,120.191369,1.41401885
crossover,super-maximum,48000,129,1024,122.794247,10.4115063,,,257,0.17478215,27.3096325,46.7746542,122.794245,26.629829
crossover,super-maximum,48000,129,1024,125.397123,10.4115063,,,320,0.196231724,22.1175079,42.087235,125.397123,55.6445622
deep-notch,sub-minimum,48000,129,1024,2.15854164,8.63416656,,,320,0.0574882501,5.83186777,39.1132816,2.15854248,7.15065172
deep-notch,sub-minimum,48000,129,1024,4.31708328,8.63416656,,,257,0.0278885753,5.05992526,35.3802276,4.31708363,4.0328164
deep-notch,sub-minimum,48000,129,1024,6.47562492,8.63416656,,,320,0.00702731978,3.51177981,26.8346104,6.47562497,4.54817833
deep-notch,window,48000,129,1024,8.63416656,8.63416656,0,8.63416656,0,7.19105202e-05,0.0837766963,1.19091633,8.63416656,5.96875162
deep-notch,window,48000,129,1024,15.5548957,8.63416656,0.125,15.5548957,0,0.00232874631,2.21499951,19.6159971,15.5722397,5.24241798
deep-notch,window,48000,129,1024,22.4756249,8.63416656,0.25,22.4756249,0,0.0062082901,3.08331827,24.9408114,22.5499364,4.67266418
deep-notch,window,48000,129,1024,29.3963541,8.63416656,0.375,29.3963541,0,0.00558075025,2.58693335,21.3422664,29.4646177,3.99768235
deep-notch,window,48000,129,1024,36.3170833,8.63416656,0.5,36.3170833,0,0.00192329971,0.839866142,9.94209751,36.3197658,3.07709179
deep-notch,window,48000,129,1024,43.2378125,8.63416656,0.625,43.2378125,0,0.00229706266,1.47668144,15.3191071,43.2582116,2.36356229
deep-notch,window,48000,129,1024,50.1585416,8.63416656,0.75,50.1585416,0,0.00177365851,1.18882876,20.3382694,50.1852685,1.54714321
deep-notch,window,48000,129,1024,57.0792708,8.63416656,0.875,57.0792708,0,0.00123924289,1.15602124,11.9068869,57.0883231,0.771380021
deep-notch,window,48000,129,1024,64,8.63416656,1,64,0,0.00203790368,1.55642082,14.2648269,64,8.64800027e-14
deep-notch,window,48000,129,1024,70.9207292,8.63416656,1.125,70.9207292,0,0.00123924289,1.15602124,11.9068869,70.9116769,0.771380021
deep-notch,window,48000,129,1024,77.8414584,8.63416656,1.25,77.8414584,0,0.00177365851,1.18882876,20.3382694,77.8147315,1.54714321
