target,method,sample_rate_hz,prototype_taps,taps,fft_size,phase_delay_samples,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,minimum_phase_taps,off_centre_linear_energy
low-pass,mixed-phase,48000,2049,513,8192,64,2,9.42887002e-07,4.92913351e-05,0.00109698549,69.8880086,1.17409693,385,0
low-pass,mixed-phase,48000,2049,513,8192,80,2,1.18566642e-06,6.19793477e-05,0.00138972786,85.8880083,1.17409745,353,0
low-pass,mixed-phase,48000,2049,513,8192,96,2,1.49721098e-06,7.82541612e-05,0.00176199335,101.888009,1.17409694,321,0
low-pass,mixed-phase,48000,2049,513,8192,112,2,1.90399186e-06,9.94920677e-05,0.00224099117,117.888009,1.17409672,289,0
low-pass,mixed-phase,48000,2049,513,8192,128,2,2.44735968e-06,0.000127840197,0.00286736163,133.888008,1.17409784,257,0
low-pass,mixed-phase,48000,2049,513,8192,144,2,3.19539032e-06,0.000166827835,0.00370468747,149.888009,1.1740967,225,0
low-pass,mixed-phase,48000,2049,513,8192,160,2,4.26783181e-06,0.000222650984,0.0048584307,165.888009,1.17409614,193,0
low-pass,mixed-phase,48000,2049,513,8192,176,2,5.50991863e-06,0.000265595523,0.00567611029,181.888007,1.17409919,161,2.99020142e-10
low-pass,mixed-phase,48000,2049,513,8192,192,2,4.71635078e-06,0.000228086367,0.00493004177,197.888009,1.17409523,129,1.85251525e-09
low-pass,mixed-phase,48000,2049,513,8192,208,1,4.05237625e-06,0.000196692738,0.00429526257,213.888009,1.17409629,97,5.85055215e-09
low-pass,mixed-phase,48000,2049,513,8192,224,1,3.50052104e-06,0.000170499677,0.00375644943,229.887092,1.17562502,65,5.7266475e-08
low-pass,mixed-phase,48000,2049,513,8192,240,1,3.01903156e-06,0.000147834677,0.00329531518,245.924678,0.898918454,33,0.000128240329
low-pass,mixed-phase,48000,2049,513,8192,256,0,2.47968887e-06,0.000129526832,0.00290475,256,1.63850784e-13,1,0.591547389
low-pass,mixed-phase,48000,2049,1025,8192,0,0,2.53840932e-11,1.32235039e-09,2.63281023e-08,5.88800852,1.17409714,1025,0
low-pass,mixed-phase,48000,2049,1025,8192,32,1,7.76558718e-10,3.9345204e-08,3.23110711e-07,37.8880085,1.17409714,961,0
low-pass,mixed-phase,48000,2049,1025,8192,64,2,5.23324104e-09,2.69759477e-07,3.12459902e-06,69.8880085,1.17409714,897,0
low-pass,mixed-phase,48000,2049,1025,8192,96,2,1.64442633e-08,8.52802971e-07,1.19899158e-05,101.888009,1.17409715,833,0
low-pass,mixed-phase,48000,2049,1025,8192,128,1,3.82732843e-08,1.99108115e-06,3.18468744e-05,133.888009,1.17409713,769,0
low-pass,mixed-phase,48000,2049,1025,8192,160,2,7.59372535e-08,3.95795569e-06,6.9625466e-05,165.888009,1.17409713,705,0
low-pass,mixed-phase,48000,2049,1025,8192,192,2,1.36769217e-07,7.13743347e-06,0.000135137062,197.888008,1.17409718,641,0
low-pass,mixed-phase,48000,2049,1025,8192,224,2,2.31490237e-07,1.20905735e-05,0.000242571219,229.888009,1.17409708,577,0
low-pass,mixed-phase,48000,2049,1025,8192,256,2,3.76502455e-07,1.96750826e-05,0.000413107168,261.888009,1.17409709,513,0
low-pass,mixed-phase,48000,2049,1025,8192,288,2,5.98323015e-07,3.12763206e-05,0.000679753224,293.888008,1.17409729,449,0
low-pass,mixed-phase,48000,2049,1025,8192,320,2,9.42887962e-07,4.92913865e-05,0.00109700469,325.888009,1.17409693,385,0
low-pass,mixed-phase,48000,2049,1025,8192,352,2,1.27696934e-06,6.30115818e-05,0.00140498453,357.888009,1.17409694,321,2.67179612e-11
low-pass,mixed-phase,48000,2049,1025,8192,384,2,1.01860772e-06,5.0276032e-05,0.00111192548,389.888008,1.17409784,257,1.71857195e-10
low-pass,mixed-phase,48000,2049,1025,8192,416,1,8.11982582e-07,4.00787743e-05,0.000877147879,421.888009,1.17409614,193,5.98942895e-10
low-pass,mixed-phase,48000,2049,1025,8192,448,1,6.46604927e-07,3.19050127e-05,0.000689370172,453.888009,1.17409523,129,2.48996757e-09
low-pass,mixed-phase,48000,2049,1025,8192,480,1,5.13847411e-07,2.53353501e-05,0.000539222597,485.887092,1.17562502,65,5.76203476e-08
low-pass,mixed-phase,48000,2049,1025,8192,512,0,3.81399004e-07,1.9931245e-05,0.000419053617,512,4.33110001e-13,1,0.591547389
low-pass,linear-phase,48000,2049,65,8192,32,0,0.00364449465,0.0392888582,0.120973471,32,9.20394676e-15,1,0.591541972
low-pass,linear-phase,48000,2049,129,8192,64,0,4.91497393e-05,0.0014634619,0.0232663742,64,2.12758389e-14,1,0.591547388
low-pass,linear-phase,48000,2049,193,8192,96,0,1.39235277e-05,0.00072111957,0.0136141401,96,6.13523746e-14,1,0.591547389
low-pass,linear-phase,48000,2049,257,8192,128,0,8.7366842e-06,0.00045445268,0.00920923758,128,5.7709921e-14,1,0.591547389
low-pass,linear-phase,48000,2049,321,8192,160,0,5.99297825e-06,0.000312285627,0.00661633345,160,1.0121795e-13,1,0.591547389
low-pass,linear-phase,48000,2049,385,8192,192,0,4.33213882e-06,0.000225997672,0.00492708061,192,1.28844445e-13,1,0.591547389
low-pass,linear-phase,48000,2049,449,8192,224,0,3.23999462e-06,0.000169152439,0.0037545406,224,1.73872378e-13,1,0.591547389
low-pass,linear-phase,48000,2049,513,8192,256,0,2.47968887e-06,0.000129526832,0.00290475,256,1.63850784e-13,1,0.591547389
low-pass,linear-phase,48000,2049,577,8192,288,0,1.92819364e-06,0.000100755686,0.00226969056,288,2.0801252e-13,1,0.591547389
low-pass,linear-phase,48000,2049,641,8192,320,0,1.51577323e-06,7.92239105e-05,0.00178440076,320,2.72991452e-13,1,0.591547389
low-pass,linear-phase,48000,2049,705,8192,352,0,1.2001676e-06,6.27372799e-05,0.00140744167,352,3.00649859e-13,1,0.591547389
low-pass,linear-phase,48000,2049,769,8192,384,0,9.54375018e-07,4.98919846e-05,0.00111111466,384,4.00409902e-13,1,0.591547389
low-pass,linear-phase,48000,2049,833,8192,416,0,7.60383987e-07,3.97505909e-05,0.000876187777,416,3.82785005e-13,1,0.591547389
low-pass,linear-phase,48000,2049,897,8192,448,0,6.0574238e-07,3.16644055e-05,0.000688879312,448,4.6344845e-13,1,0.591547389
low-pass,linear-phase,48000,2049,961,8192,480,0,4.81577081e-07,2.51708104e-05,0.00053904665,480,4.48876107e-13,1,0.591547389
low-pass,linear-phase,48000,2049,1025,8192,512,0,3.81399004e-07,1.9931245e-05,0.000419053617,512,4.33110001e-13,1,0.591547389
parametric-eq,mixed-phase,48000,2049,129,8192,0,0,0.000323256009,0.00226908137,0.00897142634,6.67496879,8.02667839,129,0
parametric-eq,mixed-phase,48000,2049,129,8192,4,2,0.000548132001,0.00383274027,0.0150665866,10.6739462,8.02667526,121,1.31894495e-13
parametric-eq,mixed-phase,48000,2049,129,8192,8,2,0.000920469185,0.00641025337,0.0248678892,14.676802,8.02161737,113,1.57784896e-12
parametric-eq,mixed-phase,48000,2049,129,8192,12,2,0.00152882325,0.0105983534,0.0403489374,18.6774385,8.01606285,105,1.25833788e-11
parametric-eq,mixed-phase,48000,2049,129,8192,16,12,0.00250742588,0.0172889287,0.065668912,22.6658183,8.01578499,97,1.70217884e-09
parametric-eq,mixed-phase,48000,2049,129,8192,20,12,0.00405690033,0.0277988562,0.10698429,26.6599717,7.9966841,89,1.16445207e-08
parametric-eq,mixed-phase,48000,2049,129,8192,24,12,0.00647619343,0.0440732939,0.170699641,30.6438152,7.96010666,81,7.69645236e-08
parametric-eq,mixed-phase,48000,2049,129,8192,28,12,0.0102054532,0.0689562272,0.265196068,34.6007078,7.89087822,73,4.7325278e-07
parametric-eq,mixed-phase,48000,2049,129,8192,32,12,0.0159067522,0.106672191,0.400396033,38.5790601,7.71002913,65,2.82414258e-06
parametric-eq,mixed-phase,48000,2049,129,8192,36,1,0.0244500286,0.162826309,0.615412396,42.4389843,7.47371763,57,3.687787e-07
parametric-eq,mixed-phase,48000,2049,129,8192,40,1,0.0370382516,0.244285437,0.91034482,46.0450489,7.1885307,49,1.92409706e-06
parametric-eq,mixed-phase,48000,2049,129,8192,44,1,0.0386700312,0.263766116,1.10736766,49.6362058,6.46007471,41,0.000788190407
parametric-eq,mixed-phase,48000,2049,129,8192,48,1,0.0114288585,0.0806876902,0.290260603,52.9397041,5.39428582,33,0.00336513139
parametric-eq,mixed-phase,48000,2049,129,8192,52,12,0.0110161185,0.0676216043,0.301713809,55.7883688,3.83899885,25,0.0062990959
parametric-eq,mixed-phase,48000,2049,129,8192,56,1,0.00957857673,0.0601534092,0.273766757,58.7445593,1.64147179,17,0.0120316545
parametric-eq,mixed-phase,48000,2049,129,8192,60,12,0.00778505928,0.053068693,0.267206928,61.1845485,0.175769462,9,0.0247113739
parametric-eq,mixed-phase,48000,2049,129,8192,64,0,0.00660862151,0.0472388046,0.174857294,64,4.44931414e-14,1,0.0599556837
parametric-eq,mixed-phase,48000,2049,257,8192,0,0,1.94718903e-08,1.4271443e-07,6.6817436e-07,6.67542398,8.02668972,257,0
parametric-eq,mixed-phase,48000,2049,257,8192,8,1,7.34518271e-08,5.36596031e-07,2.53749355e-06,14.6754242,8.02668948,241,0
parametric-eq,mixed-phase,48000,2049,257,8192,16,1,2.70420641e-07,1.96795365e-06,9.16124224e-06,22.6754244,8.02668933,225,0
parametric-eq,mixed-phase,48000,2049,257,8192,24,1,9.65092952e-07,6.99107003e-06,3.20789532e-05,30.6754218,8.02669203,209,0
parametric-eq,mixed-phase,48000,2049,257,8192,32,1,3.32601444e-06,2.39684046e-05,0.000106586789,38.6754297,8.02668262,193,0
parametric-eq,mixed-phase,48000,2049,257,8192,40,1,1.10660721e-05,7.93144567e-05,0.000343226796,46.6754141,8.0267022,177,0
parametric-eq,mixed-phase,48000,2049,257,8192,48,1,3.54929215e-05,0.000252874962,0.00105985895,54.6754445,8.02665573,161,0
parametric-eq,mixed-phase,48000,2049,257,8192,56,1,0.000109306425,0.000773237493,0.00315453907,62.6753937,8.02661938,145,0
parametric-eq,mixed-phase,48000,2049,257,8192,64,1,0.000323256379,0.00226908269,0.00897371273,70.6749689,8.02667966,129,1.19904087e-14
parametric-eq,mixed-phase,48000,2049,257,8192,72,1,0.000920477591,0.00641028577,0.0248758225,78.6768103,8.02162771,113,8.08464407e-13
parametric-eq,mixed-phase,48000,2049,257,8192,80,1,0.00250772248,0.0172908712,0.0656389943,86.6662874,8.01595055,97,4.3647419e-11
parametric-eq,mixed-phase,48000,2049,257,8192,88,1,0.00202879643,0.0161113272,0.0732069337,94.6465709,7.96006982,81,2.23425969e-05
parametric-eq,mixed-phase,48000,2049,257,8192,96,1,0.00169654633,0.0106321437,0.059130705,102.59194,7.70029171,65,0.000149819113
parametric-eq,mixed-phase,48000,2049,257,8192,104,1,0.00171170354,0.0111747735,0.0537454355,110.049785,7.18221729,49,0.000791725571
parametric-eq,mixed-phase,48000,2049,257,8192,112,1,0.000367223386,0.00262701588,0.0140335751,116.941662,5.38409108,33,0.00345020013
parametric-eq,mixed-phase,48000,2049,257,8192,120,1,7.00802632e-05,0.000454548412,0.00218019492,122.74433,1.64191143,17,0.0120823953
parametric-eq,mixed-phase,48000,2049,257,8192,128,0,4.67941524e-05,0.000344277015,0.00143766604,128,1.13223672e-13,1,0.0599967436
parametric-eq,mixed-phase,48000,2049,513,8192,0,0,2.61220104e-16,2.38077426e-15,7.71461973e-15,6.67542406,8.02668963,513,0
parametric-eq,mixed-phase,48000,2049,513,8192,16,2,2.71961947e-16,2.47069568e-15,9.64327467e-15,22.6754241,8.02668963,481,0
parametric-eq,mixed-phase,48000,2049,513,8192,32,2,1.24931598e-15,9.48589029e-15,4.43590635e-14,38.6754241,8.02668963,449,0
parametric-eq,mixed-phase,48000,2049,513,8192,48,1,2.3908546e-14,1.78737675e-13,7.51211096e-13,54.6754241,8.02668963,417,0
parametric-eq,mixed-phase,48000,2049,513,8192,64,2,4.07118996e-13,3.02685392e-12,1.1567108e-11,70.6754241,8.02668963,385,0
parametric-eq,mixed-phase,48000,2049,513,8192,80,2,6.20319787e-12,4.58987065e-11,1.67058162e-10,86.6754241,8.02668963,353,0
parametric-eq,mixed-phase,48000,2049,513,8192,96,2,8.9562051e-11,6.6060553e-10,2.53318796e-09,102.675424,8.02668963,321,0
parametric-eq,mixed-phase,48000,2049,513,8192,112,1,1.31472346e-09,9.67736546e-09,4.25308867e-08,118.675424,8.02668963,289,0
parametric-eq,mixed-phase,48000,2049,513,8192,128,1,1.94718904e-08,1.4271443e-07,6.68174372e-07,134.675424,8.02668972,257,0
parametric-eq,mixed-phase,48000,2049,513,8192,144,2,2.70420641e-07,1.96795365e-06,9.16124299e-06,150.675424,8.02668933,225,0
parametric-eq,mixed-phase,48000,2049,513,8192,160,1,3.32601444e-06,2.39684046e-05,0.000106586835,166.67543,8.02668262,193,0
parametric-eq,mixed-phase,48000,2049,513,8192,176,1,8.36244619e-06,4.45365091e-05,0.000263181557,182.675445,8.02665573,161,8.21165136e-10
parametric-eq,mixed-phase,48000,2049,513,8192,192,1,4.42930572e-06,2.54301518e-05,0.000138181604,198.674969,8.02667836,129,6.82399885e-08
parametric-eq,mixed-phase,48000,2049,513,8192,208,1,4.90579111e-06,3.37539271e-05,0.00021044329,214.66629,8.01588553,97,3.9634742e-06
parametric-eq,mixed-phase,48000,2049,513,8192,224,1,8.66257591e-06,5.6102156e-05,0.000390427582,230.591116,7.69853672,65,0.000151145636
parametric-eq,mixed-phase,48000,2049,513,8192,240,2,6.71594934e-07,5.24257111e-06,2.85251806e-05,244.94166,5.38408358,33,0.00345028685
parametric-eq,mixed-phase,48000,2049,513,8192,256,0,3.64390932e-10,2.75020727e-09,1.03260976e-08,256,3.50646977e-13,1,0.0599967457
parametric-eq,mixed-phase,48000,2049,1025,8192,0,0,2.54646311e-16,2.31817234e-15,7.71461973e-15,6.67542406,8.02668963,1025,0
parametric-eq,mixed-phase,48000,2049,1025,8192,32,2,2.53717339e-16,2.29727175e-15,7.71461973e-15,38.6754241,8.02668963,961,0
parametric-eq,mixed-phase,48000,2049,1025,8192,64,1,2.4841451e-16,2.24773123e-15,8.6789472e-15,70.6754241,8.02668963,897,0
parametric-eq,mixed-phase,48000,2049,1025,8192,96,2,2.42654607e-16,2.21041197e-15,7.71461973e-15,102.675424,8.02668963,833,0
parametric-eq,mixed-phase,48000,2049,1025,8192,128,1,2.36701557e-16,2.12186918e-15,7.71461973e-15,134.675424,8.02668963,769,0
parametric-eq,mixed-phase,48000,2049,1025,8192,160,2,2.45980734e-16,2.2381682e-15,7.71461973e-15,166.675424,8.02668963,705,0
parametric-eq,mixed-phase,48000,2049,1025,8192,192,1,2.50092512e-16,2.25257309e-15,9.64327467e-15,198.675424,8.02668963,641,0
parametric-eq,mixed-phase,48000,2049,1025,8192,224,2,2.55079987e-16,2.30649135e-15,8.6789472e-15,230.675424,8.02668963,577,0
parametric-eq,mixed-phase,48000,2049,1025,8192,256,2,2.42177939e-16,2.17464468e-15,7.71461973e-15,262.675424,8.02668963,513,0
parametric-eq,mixed-phase,48000,2049,1025,8192,288,1,1.24621465e-15,9.46573353e-15,4.3394736e-14,294.675424,8.02668963,449,0
parametric-eq,mixed-phase,48000,2049,1025,8192,320,1,4.07110263e-13,3.02681994e-12,1.15651793e-11,326.675424,8.02668963,385,0
parametric-eq,mixed-phase,48000,2049,1025,8192,352,1,1.13131894e-11,7.11618614e-11,3.64951658e-10,358.675424,8.02668963,321,0
parametric-eq,mixed-phase,48000,2049,1025,8192,384,2,5.10644134e-12,3.13540951e-11,1.66383132e-10,390.675424,8.02668972,257,2.22044605e-16
parametric-eq,mixed-phase,48000,2049,1025,8192,416,2,7.52821278e-12,4.94563855e-11,3.10444013e-10,422.67543,8.02668262,193,7.61102292e-12
parametric-eq,mixed-phase,48000,2049,1025,8192,448,2,1.52658183e-11,8.57915448e-11,6.34341358e-10,454.674969,8.02667839,129,6.82486125e-08
parametric-eq,mixed-phase,48000,2049,1025,8192,480,1,5.14484387e-10,3.39915469e-09,2.33733952e-08,486.591116,7.69853672,65,0.000151145678
parametric-eq,mixed-phase,48000,2049,1025,8192,512,0,1.91317376e-16,1.74203653e-15,7.71461973e-15,512,1.17239803e-12,1,0.0599967457
parametric-eq,linear-phase,48000,2049,65,8192,32,0,0.0577805611,0.400970039,1.43169837,32,2.00078746e-14,1,0.056847369
parametric-eq,linear-phase,48000,2049,129,8192,64,0,0.00660862151,0.0472388046,0.174857294,64,4.44931414e-14,1,0.0599556837
parametric-eq,linear-phase,48000,2049,193,8192,96,0,0.000623500647,0.00452686506,0.0177842334,96,6.49670298e-14,1,0.0599963802
parametric-eq,linear-phase,48000,2049,257,8192,128,0,4.67941524e-05,0.000344277015,0.00143766604,128,1.13223672e-13,1,0.0599967436
parametric-eq,linear-phase,48000,2049,321,8192,160,0,2.99290112e-06,2.22779739e-05,0.000100799957,160,1.46375317e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,385,8192,192,0,1.55897226e-07,1.16842982e-06,5.44861379e-06,192,1.75609659e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,449,8192,224,0,7.51760763e-09,5.66789152e-08,2.51514521e-07,224,3.52910397e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,513,8192,256,0,3.64390932e-10,2.75020727e-09,1.03260976e-08,256,3.50646977e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,577,8192,288,0,1.87245635e-11,1.41757417e-10,5.0839344e-10,288,4.8745051e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,641,8192,320,0,8.76716039e-13,6.67454775e-12,2.59693387e-11,320,4.39001822e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,705,8192,352,0,3.49526918e-14,2.67465852e-13,1.16008594e-12,352,4.27861082e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,769,8192,384,0,1.18495339e-15,9.21797857e-15,4.24304085e-14,384,5.5520861e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,833,8192,416,0,2.44094461e-16,2.22851321e-15,8.6789472e-15,416,6.82405915e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,897,8192,448,0,2.35872328e-16,2.1695243e-15,9.64327467e-15,448,8.69045713e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,961,8192,480,0,2.50529057e-16,2.28518598e-15,7.71461973e-15,480,9.38808045e-13,1,0.0599967457
parametric-eq,linear-phase,48000,2049,1025,8192,512,0,1.91317376e-16,1.74203653e-15,7.71461973e-15,512,1.17239803e-12,1,0.0599967457
crossover,mixed-phase,48000,2049,129,8192,0,0,3.60056386e-08,0.00164555372,0.0343854468,10.4603887,0.812674793,129,0
crossover,mixed-phase,48000,2049,129,8192,4,2,4.37205272e-08,0.00182664681,0.0376666401,14.4603885,0.812674799,121,3.10862447e-14
crossover,mixed-phase,48000,2049,129,8192,8,2,5.23974826e-08,0.00204501009,0.0415137182,18.4603883,0.81267482,113,9.41469125e-14
crossover,mixed-phase,48000,2049,129,8192,12,2,6.86243727e-08,0.00220999101,0.0440522202,22.4603883,0.812674982,105,1.80300219e-13
crossover,mixed-phase,48000,2049,129,8192,16,2,3.60300207e-07,0.00263365894,0.0439374815,26.4603872,0.812673445,97,2.70228284e-13
crossover,mixed-phase,48000,2049,129,8192,20,1,6.77699908e-07,0.00563549475,0.0728282249,30.4603865,0.812672612,89,1.81543669e-12
crossover,mixed-phase,48000,2049,129,8192,24,1,5.9982812e-06,0.0291121313,0.177184599,34.4603668,0.812648879,81,4.98816544e-10
crossover,mixed-phase,48000,2049,129,8192,28,1,1.03216159e-05,0.0435819216,0.164838975,38.4603506,0.812626465,73,2.03084627e-09
crossover,mixed-phase,48000,2049,129,8192,32,1,9.35467186e-05,0.476206927,2.02184137,42.4608018,0.812154429,65,3.11672819e-05
crossover,mixed-phase,48000,2049,129,8192,36,3,0.00017801516,0.316801971,1.34009688,46.4608226,0.812014237,57,2.46831334e-05
crossover,mixed-phase,48000,2049,129,8192,40,1,0.0343626104,2.56475161,15.7038569,50.3872607,0.832304756,49,0.369291526
crossover,mixed-phase,48000,2049,129,8192,44,1,0.0232280069,0.751979172,4.45135549,54.4520312,0.807001542,41,0.0356180926
crossover,mixed-phase,48000,2049,129,8192,48,1,0.0175609528,2.88519695,42.8669969,57.3646275,0.584955985,33,0.543255909
crossover,mixed-phase,48000,2049,129,8192,52,1,0.0687533438,2.1210045,15.0243182,61.2726134,0.0819236698,25,0.580151871
crossover,mixed-phase,48000,2049,129,8192,56,1,0.0117807696,5.36074416,42.8656079,62.3329408,0.0423255705,17,0.737989859
crossover,mixed-phase,48000,2049,129,8192,60,1,4.57789834e-06,0.00584464611,0.0810783626,62.2199805,0.0256098691,9,0.853128302
crossover,mixed-phase,48000,2049,129,8192,64,0,4.35856092e-06,0.00912501744,0.114643632,64,2.05439347e-14,1,0.876622388
crossover,mixed-phase,48000,2049,257,8192,0,0,1.04674369e-08,0.000483650511,0.0110283622,10.4603887,0.812674795,257,0
crossover,mixed-phase,48000,2049,257,8192,8,2,1.19869656e-08,0.000550478254,0.0125095016,18.4603887,0.812674802,241,2.22044605e-16
crossover,mixed-phase,48000,2049,257,8192,16,2,1.37288142e-08,0.000629255042,0.0142297464,26.4603887,0.812674847,225,8.8817842e-16
crossover,mixed-phase,48000,2049,257,8192,24,2,1.58060009e-08,0.00072306216,0.0162432137,34.4603887,0.812674871,209,1.99840144e-15
crossover,mixed-phase,48000,2049,257,8192,32,2,1.83186649e-08,0.000836099317,0.018621499,42.4603887,0.812674819,193,1.08801856e-14
crossover,mixed-phase,48000,2049,257,8192,40,2,2.14028747e-08,0.000974228975,0.0214613968,50.4603886,0.812674734,177,1.84297022e-14
crossover,mixed-phase,48000,2049,257,8192,48,2,2.5255012e-08,0.00114586493,0.0248970726,58.4603887,0.812674767,161,4.01900735e-14
crossover,mixed-phase,48000,2049,257,8192,56,2,3.01699097e-08,0.00136351998,0.0291207344,66.4603887,0.812674854,145,8.65973959e-14
crossover,mixed-phase,48000,2049,257,8192,64,2,3.65816278e-08,0.00164558848,0.034399717,74.4603887,0.812674825,129,1.92956762e-13
